Date,Price,Open,High,Low,Vol.,Change %
1/24/2023,0.0779,0.0796,0.08,0.0778,18.19M,-0.89%
1/23/2023,0.0786,0.0772,0.081,0.0772,9.11M,0.64%
1/20/2023,0.0781,0.0767,0.079,0.0766,6.09M,0.64%
1/19/2023,0.0776,0.081,0.0822,0.0763,38.28M,-3.24%
1/18/2023,0.0802,0.079,0.0824,0.0782,48.47M,0.88%
1/17/2023,0.0795,0.0779,0.0825,0.0771,101.00M,3.11%
1/16/2023,0.0771,0.0776,0.0795,0.0754,34.07M,1.05%
1/13/2023,0.0763,0.0756,0.0816,0.0745,77.94M,0.93%
1/12/2023,0.0756,0.0759,0.0778,0.0733,17.74M,0.27%
1/11/2023,0.0754,0.0743,0.0772,0.0725,34.68M,2.17%
1/10/2023,0.0738,0.0774,0.0774,0.071,65.57M,-4.90%
1/9/2023,0.0776,0.074,0.0799,0.0737,71.82M,2.78%
1/6/2023,0.0755,0.0725,0.0821,0.0725,121.11M,1.48%
1/5/2023,0.0744,0.0687,0.0792,0.0685,323.21M,7.20%
1/4/2023,0.0694,0.0685,0.07,0.0685,6.31M,0.14%
1/3/2023,0.0693,0.0686,0.0695,0.0685,2.78M,1.02%
12/30/2022,0.0686,0.0683,0.069,0.0681,2.60M,0.15%
12/29/2022,0.0685,0.0689,0.0694,0.0685,7.77M,-0.44%
12/28/2022,0.0688,0.069,0.0697,0.0685,5.58M,-0.43%
12/27/2022,0.0691,0.0689,0.0691,0.0685,6.49M,0.14%
12/26/2022,0.069,0.0691,0.0695,0.065,17.56M,-0.14%
12/23/2022,0.0691,0.0695,0.0695,0.0677,2.11M,0.44%
12/22/2022,0.0688,0.0682,0.0695,0.0681,6.36M,0.44%
12/21/2022,0.0685,0.0684,0.0689,0.068,5.86M,-0.29%
12/20/2022,0.0687,0.0683,0.0693,0.068,2.38M,0.73%
12/19/2022,0.0682,0.0692,0.0692,0.0682,1.27M,-1.16%
12/16/2022,0.069,0.0691,0.0695,0.0675,5.70M,1.02%
12/15/2022,0.0683,0.0689,0.069,0.068,8.09M,-1.44%
12/14/2022,0.0693,0.0702,0.0707,0.0686,3.81M,-0.57%
12/13/2022,0.0697,0.0697,0.0724,0.0696,18.94M,-0.14%
